date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 0:00:48,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 0:04:41,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 0:07:50,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:07:50,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:08:46,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 0:09:36,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:14:53,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:20:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:37:07,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:38:06,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 0:41:51,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 0:43:20,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 0:50:48,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 0:54:15,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 1:53:58,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 2:05:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 2:36:14,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 3:38:39,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 3:42:26,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 4:05:28,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 4:09:02,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 4:28:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 4:55:42,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 4:57:20,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 4:57:20,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 5:15:33,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 5:18:25,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 5:18:25,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 5:21:28,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 5:24:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 5:38:15,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 6:04:02,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 6:16:41,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:25:58,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:28:29,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:37:14,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 6:39:09,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 6:39:29,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:41:35,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:43:07,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:50:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:50:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:57:38,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 6:58:07,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 7:05:21,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 7:24:29,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 7:37:18,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 7:38:55,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 7:39:33,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 7:41:23,view,web,121288,CPM,187.4
